cas;chem;use;sum;mol;state;vap
0;0;0;0;0;0;0
64-17-5;Ethanol;Solvent.;C2H6O;46.07;0;0
0;dialkyltetralindanesulfonate;0;0;0;0;0
124-02-7;Diallylamine;0;C6H11N;97.16;0;0
131-17-9;Diallylphthalate;0;C14H14O4;Nearly colorless oily liquid.;Nearly colorless oily liquid.;0
95-54-5;1,2-diaminobenzene;0;C6H8N2;0;0;0
106-50-3;1,4-diaminobenzene;0;C6H8N2;0;0;0
2243-62-1;1,5-diaminonaphthalene;0;C10H10N2;0;0;0
479-27-6;1,8-Diaminonaphthalene;0;C10H10N2;0;0;0
771-97-1;2,3-Diaminonaphthalene;0;C10H10N2;0;0;0
132-64-9;Dibenzofuran;0;C12H8O;0;0;0
142-96-1;n-Butylether;"Solvent for hydrocarbons; fatty materials; extracting agent.";C8H18O;130.2;0;4.8 
1067-33-0;dibutyltin diacetate;0;0;0;0;0
781-43-1;9,10-Dimethylanthracene;0;C16H14;0;0;0
6146-52-7;5-Nitroindole;0;C8H6N2O2;0;0;0
135-01-3;1,2-Diethylbenzene;0;C10H14;0;0;0
84-66-2;Diethylphthalate;Solvent.;C12H14O4;222;0;0
96-22-0;3-pentanone;Solvent.;C5H10O;86.15;0;0
141-05-9;Diethylmaleate;0;C8H12O4;0;0;0
123-25-1;Diethylsuccinate;0;C8H14O4;0;0;0
122-66-7;1,2-Diphenylhydrazine;0;C12H12N2;0;0;0
1135-99-5;diphenyltindichloride;0;0;0;0;0
0;difluorobenzoic acid;0;0;0;0;0
33360-84-8;Dihydroheptachlor;insecticide;0;0;0;0
108-20-3;Diisopropylether;Solvent.;C6H14O;0;0;0
CAS-number :;Dichlofluanid;fungicide;C9H11Cl2FN2O2S2;333.2;0;0
95-82-9;2,5-dichloroaniline;0;C6H5Cl2N;0;0;0
626-43-7;3,5-Dichloroaniline;0;C6H5Cl2N;0;0;0
2234-16-4;2,4-dichloroacetophenone;0;C8H6Cl2O;0;0;0
2008-58-4;2,6-Dichlorobenzamide;0;C7H5Cl2NO;0;0;0
34883-43-7;2,4'-Dichlorobiphenyl;0;0;0;0;0
764-41-0;1,4-Dichloro-2-butene;Chemical intermediate in the production of chloroprene and;C4H6Cl2;124.97;Colourless liquid.;0
57055-39-7;Dichlorodehydroabietic acid;0;0;0;0;0
3698-83-7;1,3-Dichloro-4,6-dinitrobenzene;0;C6H2Cl2N2O4;0;0;0
75-34-3;1,1-Dichloroethane;Intermediate.;C2H4Cl2;98.96;0;0
79-43-6;Dichloro acetic acid;0;C2H2Cl2O2;129;Colorless liquid;1
55-63-0;Nitroglycerine;0;C3H5N3O9;0;0;0
540-59-0;1,2-Dichloroethylene;Intermediate.;C2H2Cl2;96.94;0;0
583-78-8;2,5-Dichlorophenol;0;C6H4Cl2O;163.01;0;0
87-65-0;2,6-Dichlorophenol;0;C6H4Cl2O;163;0;1
1836-75-5;2,4-dichlorophenyl p-nitrophenyl ether;Herbicide.;C12H7Cl2NO3;284.1;0;0
626-16-4;Dichloro-m-xylene;0;C8H8Cl2;0;0;0
0;0;0;0;0;0;0
1570-65-6;2,4-dichloro-6-methylphenol;0;0;0;0;0
1702-17-6;3,6-dichloropicolinic acid;Active ingredient in herbicides.;C6H3Cl2NO2;192;Colourless crystals.;0.000012 
78-99-9;1,1-Dichloropropane;0;C3H6Cl2;0;0;0
96-23-1;1,3-dichloro-2-propanol;0;C3H6Cl2O;0;0;0
78-88-6;2,3-Dichloropropene;0;C3H4Cl2;0;0;0
5829-48-1;9,10-Dichlorostearic acid;0;0;0;0;0
95-73-8;2,4-dichlorotoluene;0;C7H6Cl2;0;0;0
95-75-0;3,4-dichlorotoluene;0;C7H6Cl2;0;0;0
97-23-4;dichlorophen;fungicide, bactericide, herbicide;C13H10Cl2O2;0;0;0
0;0;0;0;0;0;0
828-00-2;Dimethoxane;microbicide;C8H14O4;174.22;0;0
124-40-3;Dimethyl amine;0;C2H7N;0;0;0
1541599;4-Dimethylamino-3,5-xylenol;0;C10H15NO;0;0;0
1122-58-3;dimethylaminopyridine;0;0;0;0;0
576-26-1;2,6-Dimethylphenol;0;C8H10O;0;0;0
813-78-5;Dimethylphosphate;0;C2H7O4P;0;0;0
868-85-9;Dimethylphosphite;0;C2H7O3P;0;0;0
131-11-3;Dimethylphthalate;Solvent and various.;C10H10O4;194;0;0
57-14-7;1,1-Dimethylhydrazine;Major use as a storable, high-energy propellant for;C2H8N2 ;Hygroscopic mobile liquid. ;Hygroscopic mobile liquid. ;103
0;dimethylquinole;0;0;0;0;0
581-42-0;2,6-Dimethylnaphthalene;0;C12H12;0;0;0
6972-71-0;4,5-Dimethyl-2-nitroaniline;0;C8H10N2O2;0;0;0
77-78-1;Dimethyl sulfate;0;C2H6O4S;126.14;0;0
528-29-0;1,2-Dinitrobenzene;0;C6H4N2O4;0;0;0
100-25-4;1,4-Dinitrobenzene;0;C6H4N2O4;0;0;0
51053-28-2;Dinitrobutylphenol;0;0;0;0;0
121-14-2;2,4-dinitrotoluene;0;C7H6N2O4;0;0;0
619-15-8;2,5-Dinitrotoluene;0;C7H6N2O4;0;0;0
610-39-9;3,4-Dinitrotoluene;0;C7H6N2O4;182.15;0;0
618-85-9;3,5-Dinitrotoluene;0;C7H6N2O4;182.15;0;0
6119-92-2;Dinocap;0;C18H24N2O6;0;0;0
1861-40-1;N-butyl-N-ethyl-2,6-dinitro-4-trifluoromethylaniline;Herbicide;C13H16F3N3O4;335.32;Yellow-orange crystals.;0.0000004 
140-72-7;Hexadecylpyridiniumbromide;"Surface active agent; germicide.";C21H38N.Br;Cream-coloured waxy solid.;Cream-coloured waxy solid.;0
7440-42-8;Boron;0;B;10.81;0;0
112-53-8;1-dodecanol;0;C12H26O;0;0;0
0;N-dodecyl(aminoethyl)glysine;0;0;0;0;0
27193-86-8;p-Dodecylphenol;0;C18H30O;0;0;0
0;0;0;0;0;0;0
629-97-0;n-Docosane;0;C22H46;0;0;0
2443-39-2;9,10-epoxystearic acid;0;C18H34O3;0;0;0
100-74-3;n-Ethylmorpholine;Solvent.;C6H13NO;0;0;0
60-13-9;Amphetamine sulfate;0;C9H13N. 1/2H2O4S;0;0;0
111-14-9;2-ethoxyethyl acetate;0;0;0;0;0
60-00-4;Ethylenediaminetetraacetate;0;C10H16N2O8;0;0;0
107-21-1;Ethyleneglycol;"Solvent; antifreeze agent, heat transfer agents and in";C2H6O2 C2H6O2;62.08;0;0.0878 
111-55-7;Ethyleneglycolacetate;0;C6H10O4;0;0;0
110-80-5;Ethyleneglycol monoethylether;"Solvent for nitrocellulose, natural and syntethetic resins;";C4H10O2 ;Colorless liquid.;Colorless liquid.;0
109-86-4;Ethyleneglycol monomethylether;Solvent for nitrocellulose, cellulose acetate, alcohol-soluble;C3H8O2;Colorless liquid, stable.;Colorless liquid, stable.;0
110-49-6;Ethyleneglycol monomethylether acetate;Solvent.;C5H10O3;0;0;0
109-59-1;Ethyleneglycolmono-i-propylether;0;C5H12O2 C5H12O2;0;0;0
151-56-4;Ethylene imine;Solvent.;C2H5N;0;0;0
126-30-7;2,2-Dimethyl-1,3-propanediol;0;C5H12O2;0;0;0
141-97-9;Ethylacetoacetate;Intermediate in the manufacture of dyes, pesticides and;C6H10O3;0;0;0
2461-15-6;2-Ethylhexylglycidyl ether;0;C11H22O2;0;0;0
0;0;0;0;0;0;0
30087-47-9;Fenethcarb;0;0;0;0;0
0;Fennosan F 50 *;Slimicide;0;0;0;0
148-24-3;Fennosan H-30 *;Slimicide;0;0;0;0
65280-29-7;Fennotox S 2 *;Pesticide;0;0;0;0
0;p-phenolsulfonate (Na-);0;0;0;0;0
101-42-8;Fenuron;Herbicide. ;C9H12N2O;White, crystalline solid.;White, crystalline solid.;0.00016 
90-43-7;2-phenyl phenol;Fungicide;C12H10O;170.22;0;0
122-60-1;Phenylglycidylether;0;C9H10O2;Cololess liquid;Cololess liquid;0
100-51-6;Benzyl alcohol;"Perfumes and flavours; solvent; intermediate; inks; surfactant;";C7H8O;108.13;Colourless liquid.;1
8075-74-9;Ferrochromolignosulfonate;0;0;0;0;0
0;0;0;0;0;0;0
206-44-0;Fluoranthene;0;C16H10;0;0;0
86-73-7;Fluorene;0;C13H10;0;0;0
7782-41-4;Fluorine;In cement, glass and ceramic industry (fluorides).;F2;38;0;0
350-46-9;1-Fluoro-4-nitrobenzene;0;C6H4FNO2;0;0;0
13350-71-5;Photoaldrin;0;0;0;0;0
33442-83-0;Photoheptachlor;0;0;0;0;0
3212-28-0;Photoisodrin;0;0;0;0;0
0;Photochlorden;0;0;0;0;0
0;Fungiman 85 *;Pesticide;0;0;0;0
98-00-0;Furfuryl alcohol;0;C5H6O2;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
107-22-2;Glyoxal;0;C2H2O2;0;0;0
10043-52-4;Calcium chloride;0;CaCl2 CaCl2;110.98;0;0
123-34-2;Glycerin-alpha-allylether;0;C6H12O3;0;0;0
90-05-1;Guaiacol;0;C7H8O2;0;0;0
115044-19-4;Guazatine acetates;Fungicide;0;Brown solid (tech.).;Brown solid (tech.).;0
3033-77-0;Glycidyltrimethylammoniumchloride;0;C6H14NO.Cl;0;0;0
319-84-6;alpha-Hexachlorocyclohexane;insecticide;C6H6Cl6;291;0;0
107-41-5;Hexyleneglycol;Solvent.;C6H14O2;0;0;0
111-70-6;1-heptanol;0;C7H16O;0;0;0
21548-73-2;Silver sulfide;Inlaying in niello metal-work, ceramics.;Ag2S;Grayish black powder, soluble in concentrated sulfuric and;Grayish black powder, soluble in concentrated sulfuric and;0
0;Silverthiosulfate;0;0;0;0;0
0;0;0;0;0;0;0
465-73-6;Isodrin;0;C12H8Cl6;0;0;0
78-59-1;Isophorone;"Solvent; intermediate (?).";C9H14O;138;0;0
26952-21-6;Isooctanol;Solvent.;C8H18O;0;0;0
0;0;0;0;0;0;0
7553-56-2;Iodine;0;I2;0;0;0
7440-43-9;Cadmium;Electrodeposited and dipped coatings on metals, bearing and;Cd;112.4;Soft, blue-white, malleable metal or grayish-white powder.;0
10108-64-2;Cadmiumchloride;0;CdCl2;0;0;0
51026-28-9;Potassium-N-hydroxymethyl-N-methyldithiocarbamate;Slimicide;C3H7NOS2.K;0;0;0
79-92-5;Camphene;0;C10H16;0;0;0
26087-47-8;Kitazin;0;C13H21O3PS;0;0;0
108-42-9;3-chloroaniline;"Intermediate for azo dyes and pigments; pharmaceuticals;";C6H6ClN;127.57;0;0.1 
1570-64-5;4-chloro-o-cresol;0;C7H7ClO;142.59;0;0
26172-55-4;5-Chloro-2-methyl-4-isotiazoline-3-one;Slimicide.;C4H4ClNOS;0;0;0
96-24-2;3-chloro-1,2-propanediol;0;C3H7ClO2;0;0;0
0;2-chlorotoluene-4-sulfonate,sodium;0;0;0;0;0
0;2-chlorotoluene-5-sulfonate,sodium;0;0;0;0;0
80-33-1;Chlorfenson;Acaricide.;C12H8Cl2O3S;0;0;0
24934-91-6;Chlormephos;Insecticide.;C5H12ClO2PS2;0;0;0
1982-47-4;Chloroxuron;Active ingredient in herbicides. ;0;White crystals.;White crystals.;0
1897-45-6;Chlorothalonil;Fungicide.;C8Cl4N2;white chrystalline solid;white chrystalline solid;0
64902-72-3;Chlorsulfuron;Active ingredient in herbicides.;C12H12ClN5O4S;357.78;Solid, crystalline, white (PESREG).;0.0000046 
1918-13-4;Chlorthiamid;Active ingredient in herbicides.;0;0;0;0
57017-81-9;Consin;0;0;0;0;0
8001-58-9;Creosote;Impregnant of wood.;0;0;0;0
4170-30-3;Crotonaldehyde;"Manufacture of N-butanol; crotonic acid; sorbic acid.";C4H6O;70;Colourless liquid. ;19
15096-52-3;Cryolite;Raw material in aluminium manufacturing. ;Na3AlF6;0;0;0
95-47-6;o-xylene;"Manufacture of phthalic anhydride; vitamin and pharmaceutical";C8H10;106.18;Colourless liquid. ;6.6 
95-87-4;2,5-dimethylphenol;0;C8H10O;0;0;0
95-65-8;3,4-dimethylphenol;0;C8H10O;0;0;0
108-68-9;3,5-dimethylphenol;"Phenolic resins; coal for disinfectants.";C8H10O;122.13;Colourless.;1
142-71-2;Copper acetate;0;C2H4O2. 1/2Cu;0;0;0
7447-39-4;Copper(II) chloride;0;Cl2Cu;134.44;0;0
82-68-8;Quintozene;Active ingredient in fungicides.;C6Cl5NO2;0;0;0
78-97-7;Lactonitrile;0;C3H5NO;71.09;0;0
12407-86-2;Landrine;0;0;0;0;0
7439-91-0;Lanthanum;0;La;0;0;0
59669-26-0;Larvin;0;C10H18N4O4S3;0;0;0
96639;Lenacil;Active ingredient in herbicides.;C13H18N2O2 ;243.3;White, crystalline solid.;0
21609-90-5;Leptophos;Insecticide.;C13H10BrCl2O2PS;0;0;0
42615-29-2;Linear alkylbenzene sulfonate;0;0;0;0;0
83968-18-7;Linevol;0;0;0;0;0
330-55-2;Linuron;Active ingredient in herbicides.;C9H10Cl2N2O2;0;0;0
7439-93-2;Lithium;0;Li;0;0;0
29082-74-4;Octachlorostyrene;0;C8Cl8;379.71;0;0
598-63-0;Lead carbonate;"Exterior paint pigment; ceramic glazes.";CH2O3.Pb (598-63-0);White amorphous powder.;White amorphous powder.;0
10099-74-8;Lead nitrate;Lead salts, mordant in dyeing and printing calico, matches,;Pb(NO3)2 HNO3. 1/2Pb;White crystals.;White crystals.;0
75-74-1;Tetramethyl lead;0;(CH3)4Pb C4H12Pb;Colourless liquid.;Colourless liquid.;22.5 
0;0;0;0;0;0;0
7439-95-4;Magnesium;0;Mg;0;0;0
0;0;0;0;0;0;0
1634-78-2;Malaoxon;0;0;0;0;0
108-31-6;Maleic anhydride;0;C4H2O3;98.06;0;0.41 
110-16-7;Maleic acid;0;C4H4O4;116.07;0;0
123-33-1;Maleic hydrazine;Plant growth regulator.;C4H4N2O2;0;0;0
109-77-3;Malononitrile;0;C3H2N2;0;0;0
7439-96-5;Manganese;0;Mn;0;0;0
94-81-5;MCPB;Herbicide.;C11H13ClO3;0;0;0
53780-34-0;Mefluidide;"Herbicide; plant growth regulator.";C11H13F3N2O3S;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
108-67-8;Mesitylene;0;C9H12;0;0;0
141-79-7;Mesityl oxide;0;C6H10O;98.16;0;0
3518-65-8;Methanesulfonylchloride;0;CH2Cl2O2S;0;0;0
563-47-3;Metallyl chloride;0;C4H7Cl;0;0;0
67-56-1;Methanol;Solvent.;CH4O;32.04;0;92
0;0;0;0;0;0;0
0;0;0;0;0;0;0
123-88-6;Chloro(2-methoxyethyl)mercury;Fungicide.;C3H7ClHgO;295.14;0;0
150-19-6;3-Methoxyphenol;0;C7H8O2;0;0;0
150-76-5;4-Methoxyphenol;Manufacture of antioxidants, pharmaceuticals, plasticizers,;C7H8O2;White, waxy solid.;White, waxy solid.;0
107-70-0;4-methoxy-4-methyl-2-pentanone;0;C7H14O2;0;0;0
19937-59-8;Metoxuron;Active ingredient in herbicides.;C10H13ClN2O2;228.7;Colourless crystalline powder.;0.0000001 
40596-69-8;Methoprene;"Insect growth regulator; prevents adult emergence of";C19H34O3;Amber liquid.;Amber liquid.;0.0000237 
21087-64-9;Metribuzin;Active ingredient in herbicides. ;C8H14N4OS;White crystalline solid.;White crystalline solid.;0
6317-18-6;Methylenebisthiocyanate;Slimicide.;C3H2N2S2;0;0;0
75-09-2;Dichloromethane;Solvent. ;CH2Cl2;84.93;0;434.9 
61-73-4;Methylene blue;0;C16H18N3S.Cl;0;0;0
2536-91-6;6-Methyl-2-aminobenzothiazolehydrochloride;0;C8H8N2S;0;0;0
150-75-4;p-Methylaminophenol;0;C7H9NO;0;0;0
108-44-1;m-toluidine;0;C7H9N;0;0;0
96-33-3;Methyl acrylate;Solvent.;C4H6O2;0;0;0
74-83-9;Methylbromide;"Ionization chambers; decreasing wool; extracting oils;";CH3Br;94.94;Colourless gas. ;1250
75-85-4;2-Methyl-2-butanol;0;C5H12O;0;0;0
115-09-3;Methylmercuric chloride;0;CH3ClHg;0;0;0
78-93-3;2-Butanone;Solvent or swelling agent for resins, intermediate in the;C4H8O;72.12;Colourless liquid.;90.6 
832-69-9;1-Methylphenanthrene;0;C15H12;0;0;0
534-22-5;2-Methylfuran;0;C5H6O;0;0;0
110-12-3;Methyl isoamyl ketone;Solvent.;C7H14O;0;0;0
108-11-2;4-methyl-2-pentanol;Solvent.;C6H14O;0;0;0
108-10-1;Methyl isobutyl ketone;Solvent.;C6H12O;0;0;5
91-63-4;2-methylquinoline;0;C10H9N;0;0;0
491-35-0;6-Methylquinoline;0;C10H9N;0;0;0
74-87-3;Methylchloride;Solvent.;CH3Cl;0;0;3671.9 
80-62-6;Methyl methacrylate;0;C5H8O2;0;0;0
90-12-0;1-methylnaphthalene;0;C11H10;0;0;0
88-72-2;o-Nitrotoluene;0;C7H7NO2;0;0;1
99-08-1;m-nitrotoluene;0;C7H7NO2;137.15;0;0
99-99-0;p-nitrotoluene;0;C7H7NO2;0;0;0
4920-77-8;3-Methyl-2-nitrophenol;0;C7H7NO3;0;0;0
700-38-9;5-Methyl-2-nitrophenol;0;C7H7NO3;0;0;0
554-12-1;Methylpropionate;0;C4H8O2;0;0;0
108-89-4;Methylpyridine;0;C6H7N;0;0;0
108-87-2;Methylcyclohexane;0;C7H14;0;0;0
583-60-8;2-Methylcyclohexanone;Solvent.;C7H12O;0;0;0
993-16-8;Methyltrichlorostannane;0;0;0;0;0
8004-87-3;Methyl violet;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
57055-38-6;Monochlorodehydroabietic acid;0;0;0;0;0
615-67-8;Monochlorohydroquinone;0;C6H5ClO2;0;0;0
60-34-4;Monomethylhydrazine;Rocket fuel and intermediate in chemical synthesis.;CH6N2 CH6N2;46.07;0;49.6 
7439-98-7;Molybdenum;0;Mo;0;0;0
110-91-8;Morpholine;Solvent.;C4H9NO;0;0;0
886-86-2;3-Aminobenzoic acid ethyl ester methanesulfonate;0;C10H15NO5S C9H11NO2.CH4O3S (EINECS);261.32;0;0
0;0;0;0;0;0;0
8030-30-6;Naphtha;0;0;0;0;0
86-55-5;1- Naphthoic acid;0;C11H8O2;0;0;0
524-42-5;1,2-Naphthoquinone;0;C10H6O2;0;0;0
130-15-4;1,4-Naphthoquinone;Polymerization inhibitor or regulator for polyester resins and;C10H6O2;158.11;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
7440-23-5;Sodium;0;Na;0;0;0
7778-43-0;Disodium arsenate;0;AsH3O4.2Na;185.91;0;0
144-55-8;Sodium bicarbonate;0;CH2O3.Na;0;0;0
123-51-3;3-Methyl-1-butanol;0;C5H12O;0;0;0
7681-49-4;Sodium fluoride;NF is used mostly as an additive e.g. in tooth pastes and;NaF;0;0;0
1310-73-2;Sodium hydroxide;"Cellulose; rubber manufacturing; intermediate; medicine; rayon";HNaO;40;White deliquescent solid or solution. ;100
497-19-8;Sodium carbonate;0;CH2O3.2Na;105.99;0;0
7647-14-5;Sodium chloride;0;ClNa;0;0;0
0;Sodium lignin sulfonate;0;0;0;0;0
7632-00-0;Sodium nitrite;0;HNO2.Na;69;0;0
62-76-0;Sodium oxalate;0;C2H2O4.2Na;0;0;0
131-52-2;Sodium pentachlorophenol;0;C6HCl5O.Na;0;0;0
137-40-6;Sodium propionate;0;C3H6O2.Na;0;0;0
10102-18-8;Sodium selenite;0;0;0;0;0
0;0;0;0;0;0;0
139-13-9;Nitrilotriacetic acid;0;C6H9NO6;0;0;0
88-74-4;2-Nitroaniline;0;C6H6N2O2;0;0;0
7601-54-9;Phosphoric acid, trisodium salt;0;H3O4P.3Na;163.94;0;0
94-52-0;6-nitrobenzindazole;0;C7H5N3O2;0;0;0
619-72-7;4-Nitrobenzonitrile;0;C7H4N2O2;0;0;0
619-24-9;3-Nitrobenzonitrile;0;C7H4N2O2;0;0;0
160318;5-nitrobenzotriazole;0;C6H4N4O2;0;0;0
99-56-9;4-nitro-1,2-diaminobenzene;0;C6H7N3O2;0;0;0
0;N-(alpha-(1-nitroethyl)-benzyl)ethylenediamine;Slimicide.;0;0;0;0
1008-88-4;3-Phenylpyridine;0;C11H9N;0;0;0
88-75-5;2-Nitrophenol;"Indicator; intermediate in organic synthesis; fungicide for";C6H5NO3;139.11;Light yellow needles will sink, and quick action could recover;1
554-84-7;3-Nitrophenol;0;C6H5NO3;0;0;0
607-34-1;5-Nitrokinoline;0;C9H6N2O2;0;0;0
613-50-3;6-Nitrokinoline;0;C9H6N2O2;0;0;0
121-73-3;1-chloro-3-nitrobenzene;"manufacturing: dyestuffs; intermediate in organic chemicals";C6H4ClNO2;157.56;pale yellow chrystals;0
0;4-nitrochlorobenzene-2-sulfonate (Na-);0;0;0;0;0
119-33-5;2-nitro-p-cresol;0;C7H7NO3;0;0;0
2581-34-2;4-Nitro-m-cresol;0;C7H7NO3;0;0;0
0;0;0;0;0;0;0
86-57-7;1-Nitronaphthalene;0;C10H7NO2;0;0;0
1122-61-8;4-nitropyridine;0;0;0;0;0
55-18-5;n-Nitrosodiethylamine;0;C4H10N2O;0;0;0
86-30-6;n-Nitrosodiphenylamine;0;C12H10N2O;0;0;0
28928-97-4;beta-n-nonenylsuccinic anhydride;0;C13H20O3;0;0;0
0;4-nitrotoluene-2-sulfonate (Na-);0;0;0;0;0
0;Nokomis-3;Oil dispersant;0;0;0;0
143-08-8;1-Nonanol;0;C9H20O;0;0;0
598-75-4;3-Methyl-2-butanol;0;C5H12O;0;0;0
0;0;0;0;0;0;0
75-20-7;Calcium carbide;0;C2Ca;64.1;0;0
9016-45-9;Nonylphenol ethoxylates;AFE is used as a component in detergents mostly in industry;Rn-C6H4OH(EO)m * see other phys.&chem. prop.;0;0;0
0;0;0;0;0;0;0
144-62-7;Oxalic acid;0;C2H2O4;90.04;0;0
5259-88-1;Oxycarboxin;Fungicide;C12H13NO4S;0;0;0
2234-13-1;Octachloronaphthalene;0;C10Cl8;0;0;0
111-87-5;1-octanol;Perfumery, cosmetics, organic synthesis, solvent manufacture of;C8H18O;Colorless liquid;Colorless liquid;0
111-13-7;2-octanone;0;C8H16O;0;0;0
4175-37-5;p-Octyldiphenylamine;0;C20H27N;0;0;0
2243-27-8;n-Octyl cyanide;0;C9H17N;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
57-10-3;Palmitic acid;0;C16H32O2 ;0;0;0
1945-53-5;Palustric resin acid;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
30525-89-4;Paraformaldehyde;0;(CH2O)X;White crystalline powder. ;White crystalline powder. ;0
1008-89-5;2-Phenylpyridine;0;C11H9N;0;0;0
12674-11-2;PCB Aroclor 1016 *;0;0;0;0;0
11104-28-2;PCB Aroclor 1221 *;0;0;0;0;0
53469-21-9;PCB Aroclor 1242 *;"Dielectric liquids; thermostatic fluids; swelling agents for";0;0;0;50
11096-82-5;PCB Aroclor 1260 *;0;0;0;0;0
90-00-6;2-ethylphenol;0;C8H10O;0;0;0
1114-71-2;Pebulate;Herbicide;0;0;0;0
123-54-6;2,4-Pentanedione;0;C5H8O2;0;0;0
25429-29-2;Pentachlorobiphenyl;0;C12H5Cl5;0;0;0
584-02-1;3-Pentanol;0;C5H12O;0;0;0
80-46-6;p-(tert-pentyl)phenol;0;C11H16O;164.27;0;0
54774-45-7;Permethrin (cis-isomer);0;0;0;0;0
51877-74-8;Permethrin (trans-isomer);0;0;0;0;0
7783-28-0;Phos-chek;Fire prevention;H3N. 1/2H3O4P;0;0;0
504-20-1;Phorone;0;C9H14O;0;0;0
117-80-6;2,3-dichloro-1,4-naphthoquinone;"Pesticide; fungicide.";C10H4Cl2O2 ;227.04;Yellow crystals;0
88-89-1;Picric acid;0;C6H3N3O7;229.12;0;0
80-56-8;2-Pinene;0;C10H16;0;0;0
23103-98-2;Pirimicarb;Active ingredient in insecticides.;C11H18N4O2;0;0;0
73482-03-8;Piror P 72 *;"Pesticide; slimicide";0;0;0;0
75-98-9;Pivalic acid;0;C5H10O2;0;0;0
9016-00-6;Polydimethylsiloxane;0;0;0;0;0
25322-68-3;Polyethylene glycol;0;0;0;0;0
25322-69-4;Polypropylene glycol;0;0;0;0;0
9006-42-2;Polyram;Fungicide;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
71-23-8;n-Propanol;Solvent.;C3H8O;60.11;0;0
107-19-7;Propargyl alcohol;0;C3H4O;0;0;0
75-56-9;Propeneoxide;Solvent.;C3H6O;58.08;0;438.1 
60207-90-1;Propiconaxole;Fungicide;C15H17Cl2N3O2;0;0;0
123-38-6;Propionaldehyde;0;C3H6O;0;0;0
1333-74-0;Hydrogen;0;H2;2.02;0;0
79-09-4;Propionic acid;0;C3H6O2;0;0;0
57-55-6;Propyleneglycol;Solvent.;C3H8O2 ;76.11;0;0.08 
109-60-4;n-propylacetate;Solvent.;C5H10O2;0;0;0
1929-77-7;s-propyldipropyldithiocarbamate;Herbicide;0;0;0;0
19622-08-3;Prothiocarb;Fungicide;0;0;0;0
2634-33-5;Proxel PL *;"Pesticide; slimicide";0;0;0;0
66594-31-8;Pydraul 50 E;0;0;0;0;0
0;0;0;0;0;0;0
0;Pyodrin;0;0;0;0;0
129-00-0;Pyrene;0;C16H10;202.26;0;0
110-86-1;Pyridine;Solvent.;C5H5N ;79.1;0;0
87-66-1;Pyrogallol;0;C6H6O3;0;0;0
616-45-5;2-Pyrrolidone;0;C4H7NO;0;0;0
7439-89-6;Iron;0;0;0;0;0
121-82-4;RDX;Pesticide;C3H6N6O6;0;0;0
81-88-9;Rhodamine;0;C28H31N2O3.Cl;0;0;0
7720-78-7;Ferrous sulfate;0;Fe.H2O4S;0;0;0
10453-86-8;Resmethrin;Insecticide;0;0;0;0
108-46-3;Resorcinol;0;C6H6O2;110.12;0;0
7664-93-9;Sulfuric acid;"Fertilizers; chemicals; inorganic pigments; petroleum refining;";H2O4S;98.08;Colourless liquid. ;1
38641-94-0;Glyphosate isopropylamine salt;Herbicide;C3H9N.C3H8NO5P;0;0;0
7782-49-2;Selenium;0;Se;0;0;0
2025852;Selenium dioxide;0;O2Se;0;0;0
0;Selenite;0;0;0;0;0
7789-30-2;Bromine pentafluoride;0;BrF5;174.91;0;0
0;Shellflex;0;0;0;0;0
7733-02-0;Zinc sulfate;Merchant dye, wood preservation, paper manufacture, chemical;ZnSO4 H2O4S.Zn (EINECS form);161.43;Colourless crystals. ;60
99-11-6;Citrazinic acid;Competing coupler in color developer solution.;C6H5NO4;155.11;0;0
77-92-9;Citric acid;0;C6H8O7;192.12;0;0
20679-58-7;Slimacide V10 *;Slimicide.;C8H10Br2O4;0;0;0
57-11-4;Stearic acid;0;C18H36O2 ;284.47;0;0
8001-50-1;Strobane;0;0;0;0;0
57-24-9;Strychnine;0;C21H22N2O2;0;0;0
14265-45-3;Sulfite;0;0;0;0;0
126-33-0;Sulfolane;0;C4H8O2S;0;0;0
100-48-1;Cyanopyridine;0;C6H4N2;0;0;0
1134-23-2;Cycloate;Active ingredient in herbicides.;0;0;0;0
4904-61-4;1,5,9-Cyclododecatriene;0;C12H18 ;162.28;0;0
110-82-7;Cyclohexane;0;C6H12;84.16;Colorless, mobile liquid.;77
108-93-0;Cyclohexanol;"Solvent; intermediate (0.2 %).";C6H12O;100;Colorless liquid.;1
108-94-1;Cyclohexanone;Solvent for various insecticides, lacquers, inks, paints and ;C6H10O;98.15;0;4
622-45-7;Cyclohexylacetate;0;0;142.19;0;0
544-25-2;1,3,5-Cycloheptatriene;0;C7H8;92.14;Dark yellow liquid.;0
1552-12-1;1,5-cyclooctadiene;Resin intermediate.;0;108.18;0;5
96-41-3;Cyclopentanol;"Perfume and pharmaceutical solvent; intermediate for dyes,";C5H10O;86.13;0;0
